,date,open,close,high,low,volume,code
577,2020-05-21,2890.72,2867.92,2891.52,2864.21,203532038.0,sh000001
578,2020-05-22,2863.05,2813.77,2863.05,2808.02,209063712.0,sh000001
579,2020-05-25,2816.24,2817.97,2821.5,2802.47,172885557.0,sh000001
580,2020-05-26,2827.9,2846.55,2848.34,2825.9,174562369.0,sh000001
581,2020-05-27,2847.32,2836.8,2849.0,2831.93,198149343.0,sh000001
582,2020-05-28,2838.21,2846.22,2861.92,2820.15,207546019.0,sh000001
583,2020-05-29,2835.58,2852.35,2855.38,2829.63,206792804.0,sh000001
584,2020-06-01,2871.96,2915.43,2917.15,2871.96,260196050.0,sh000001
585,2020-06-02,2916.32,2921.4,2926.36,2909.13,256108049.0,sh000001
586,2020-06-03,2930.39,2923.37,2942.76,2922.66,255663980.0,sh000001
587,2020-06-04,2931.84,2919.25,2932.97,2910.75,226605873.0,sh000001
588,2020-06-05,2923.19,2930.8,2930.8,2909.12,217360673.0,sh000001
589,2020-06-08,2941.98,2937.77,2950.07,2934.21,231124360.0,sh000001
590,2020-06-09,2939.54,2956.11,2957.12,2932.94,209048585.0,sh000001
591,2020-06-10,2951.28,2943.75,2951.33,2934.84,207925969.0,sh000001
592,2020-06-11,2939.79,2920.9,2952.65,2912.19,233722947.0,sh000001
593,2020-06-12,2876.8,2919.74,2930.26,2872.62,236008642.0,sh000001
594,2020-06-15,2908.28,2890.03,2922.54,2890.03,243205046.0,sh000001
595,2020-06-16,2912.83,2931.75,2931.78,2909.13,223313065.0,sh000001
596,2020-06-17,2932.67,2935.87,2936.62,2919.04,234654391.0,sh000001
597,2020-06-18,2929.88,2939.32,2942.9,2920.11,258691377.0,sh000001
598,2020-06-19,2938.79,2967.63,2973.32,2935.82,264313961.0,sh000001
599,2020-06-22,2966.9,2965.27,2983.44,2959.04,267883834.0,sh000001
600,2020-06-23,2960.89,2970.62,2972.4,2949.85,225212208.0,sh000001
601,2020-06-24,2972.98,2979.55,2982.94,2971.22,213200732.0,sh000001
602,2020-06-29,2973.08,2961.52,2977.91,2951.77,220622729.0,sh000001
603,2020-06-30,2965.11,2984.67,2990.83,2965.11,214957214.0,sh000001
604,2020-07-01,2991.18,3025.98,3026.19,2984.98,273313140.0,sh000001
605,2020-07-02,3023.72,3090.57,3092.44,3021.67,391127996.0,sh000001
606,2020-07-03,3104.0,3152.81,3152.81,3104.0,458793851.0,sh000001
607,2020-07-06,3187.84,3332.88,3337.27,3187.84,643878906.0,sh000001
608,2020-07-07,3380.95,3345.34,3407.08,3336.24,657840159.0,sh000001
609,2020-07-08,3337.55,3403.44,3421.53,3327.71,587081685.0,sh000001
610,2020-07-09,3403.48,3450.59,3456.97,3393.64,620001823.0,sh000001
611,2020-07-10,3418.93,3383.32,3433.11,3372.51,556120011.0,sh000001
612,2020-07-13,3379.39,3443.29,3458.79,3369.04,558006875.0,sh000001
613,2020-07-14,3435.02,3414.62,3451.22,3366.08,543211492.0,sh000001
614,2020-07-15,3422.08,3361.3,3432.45,3345.75,492030542.0,sh000001
615,2020-07-16,3356.36,3210.1,3373.53,3209.73,490613123.0,sh000001
616,2020-07-17,3214.4,3214.13,3252.78,3181.27,359652413.0,sh000001
617,2020-07-20,3243.91,3314.15,3314.15,3220.68,418555306.0,sh000001
618,2020-07-21,3330.55,3320.89,3336.68,3300.57,359252029.0,sh000001
619,2020-07-22,3315.18,3333.16,3381.98,3311.79,393335335.0,sh000001
620,2020-07-23,3306.15,3325.11,3336.3,3257.83,407042499.0,sh000001
621,2020-07-24,3310.64,3196.77,3319.13,3184.96,427054026.0,sh000001
622,2020-07-27,3210.39,3205.23,3221.98,3174.66,299319021.0,sh000001
623,2020-07-28,3226.13,3227.96,3245.3,3208.49,289377861.0,sh000001
624,2020-07-29,3221.99,3294.55,3294.55,3209.99,324924062.0,sh000001
625,2020-07-30,3299.57,3286.82,3312.45,3282.16,340704121.0,sh000001
626,2020-07-31,3280.8,3310.01,3333.79,3261.61,353758979.0,sh000001
627,2020-08-03,3332.18,3367.97,3368.1,3327.68,407460867.0,sh000001
628,2020-08-04,3376.44,3371.69,3391.07,3352.5,442328551.0,sh000001
629,2020-08-05,3363.33,3377.56,3383.64,3333.88,385823027.0,sh000001
630,2020-08-06,3380.76,3386.46,3392.7,3334.33,415302510.0,sh000001
631,2020-08-07,3370.59,3354.04,3374.13,3307.71,403929633.0,sh000001
632,2020-08-10,3341.53,3379.25,3399.93,3335.04,381379630.0,sh000001
633,2020-08-11,3379.49,3340.29,3409.06,3336.09,400452706.0,sh000001
634,2020-08-12,3327.49,3319.27,3335.73,3263.27,378328959.0,sh000001
635,2020-08-13,3328.18,3320.73,3338.15,3309.46,324291278.0,sh000001
636,2020-08-14,3315.67,3360.1,3362.03,3302.74,305998376.0,sh000001
637,2020-08-17,3373.9,3438.8,3450.9,3369.37,434598260.0,sh000001
638,2020-08-18,3441.93,3451.09,3456.72,3432.64,380729275.0,sh000001
639,2020-08-19,3444.56,3408.13,3454.46,3406.16,405722214.0,sh000001
640,2020-08-20,3385.96,3363.9,3394.56,3352.78,335600982.0,sh000001
641,2020-08-21,3380.23,3380.68,3393.92,3358.0,287488340.0,sh000001
642,2020-08-24,3391.11,3385.64,3396.57,3368.03,266227841.0,sh000001
643,2020-08-25,3392.88,3373.58,3408.87,3364.16,277113421.0,sh000001
644,2020-08-26,3371.81,3329.74,3382.6,3320.14,294451036.0,sh000001
645,2020-08-27,3333.49,3350.11,3351.83,3312.99,237099353.0,sh000001
646,2020-08-28,3346.29,3403.81,3405.88,3339.65,271325549.0,sh000001
647,2020-08-31,3416.55,3395.68,3442.74,3395.47,323473890.0,sh000001
648,2020-09-01,3389.74,3410.61,3410.61,3381.71,246999249.0,sh000001
649,2020-09-02,3420.47,3404.8,3421.4,3377.21,261546319.0,sh000001
650,2020-09-03,3404.03,3384.98,3425.63,3374.26,255346279.0,sh000001
651,2020-09-04,3336.41,3355.37,3360.11,3328.55,221636550.0,sh000001
652,2020-09-07,3349.92,3292.59,3368.24,3285.63,260616567.0,sh000001
653,2020-09-08,3301.22,3316.42,3324.39,3276.44,271066278.0,sh000001
654,2020-09-09,3281.0,3254.63,3289.61,3238.56,351509747.0,sh000001
655,2020-09-10,3282.23,3234.82,3285.47,3227.64,312472804.0,sh000001
656,2020-09-11,3225.78,3260.35,3262.5,3220.54,221698830.0,sh000001
657,2020-09-14,3275.92,3278.81,3283.53,3261.15,213924137.0,sh000001
658,2020-09-15,3277.13,3295.68,3297.69,3263.75,197684400.0,sh000001
659,2020-09-16,3293.17,3283.92,3302.46,3271.08,200443364.0,sh000001
660,2020-09-17,3277.32,3270.44,3290.41,3248.5,202931972.0,sh000001
661,2020-09-18,3270.91,3338.09,3338.32,3268.53,256260788.0,sh000001
662,2020-09-21,3348.9,3316.94,3350.59,3313.07,216503093.0,sh000001
663,2020-09-22,3290.67,3274.3,3320.23,3265.7,214015065.0,sh000001
664,2020-09-23,3278.84,3279.71,3289.76,3264.89,169178068.0,sh000001
665,2020-09-24,3262.88,3223.18,3265.35,3221.24,206736011.0,sh000001
666,2020-09-25,3234.37,3219.42,3239.47,3208.03,164822419.0,sh000001
667,2020-09-28,3224.98,3217.53,3238.18,3210.89,155982783.0,sh000001
668,2020-09-29,3231.86,3224.36,3242.79,3219.79,151349870.0,sh000001
669,2020-09-30,3232.71,3218.05,3244.91,3202.34,153504457.0,sh000001
670,2020-10-09,3262.61,3272.08,3280.51,3260.19,188325648.0,sh000001
671,2020-10-12,3287.33,3358.47,3359.15,3286.11,259622408.0,sh000001
672,2020-10-13,3353.12,3359.75,3361.83,3334.5,204926103.0,sh000001
673,2020-10-14,3353.62,3340.78,3353.62,3332.96,198659382.0,sh000001
674,2020-10-15,3342.92,3332.18,3354.58,3330.0,191031282.0,sh000001
675,2020-10-16,3334.46,3336.36,3348.95,3319.11,194295421.0,sh000001
676,2020-10-19,3351.1,3312.67,3371.09,3307.84,212303540.0,sh000001
677,2020-10-20,3307.15,3328.1,3328.1,3293.77,165084762.0,sh000001
678,2020-10-21,3332.15,3325.02,3332.15,3304.17,177632115.0,sh000001
679,2020-10-22,3315.82,3312.5,3320.88,3281.37,165949987.0,sh000001
680,2020-10-23,3308.16,3278.0,3326.05,3276.62,174208982.0,sh000001
681,2020-10-26,3258.7,3251.12,3264.45,3226.6,167731795.0,sh000001
682,2020-10-27,3240.74,3254.32,3258.34,3235.54,149115566.0,sh000001
683,2020-10-28,3256.22,3269.24,3275.87,3238.38,173181965.0,sh000001
684,2020-10-29,3235.76,3272.73,3289.77,3231.12,184703589.0,sh000001
685,2020-10-30,3278.63,3224.53,3279.86,3219.42,230188803.0,sh000001
686,2020-11-02,3228.72,3225.12,3242.8,3209.91,226779137.0,sh000001
687,2020-11-03,3239.81,3271.07,3278.38,3237.85,215297864.0,sh000001
688,2020-11-04,3273.43,3277.44,3286.62,3254.11,188514128.0,sh000001
689,2020-11-05,3305.58,3320.13,3320.41,3291.6,226801462.0,sh000001
690,2020-11-06,3326.46,3312.16,3326.46,3292.15,234864132.0,sh000001
691,2020-11-09,3329.43,3373.73,3380.82,3329.43,310219771.0,sh000001
692,2020-11-10,3387.62,3360.15,3387.62,3346.17,278701113.0,sh000001
693,2020-11-11,3354.02,3342.2,3365.84,3339.04,271204653.0,sh000001
694,2020-11-12,3344.46,3338.68,3350.28,3329.49,216501309.0,sh000001
695,2020-11-13,3327.23,3310.1,3327.23,3291.64,227898364.0,sh000001
696,2020-11-16,3325.62,3346.97,3346.97,3313.65,279593761.0,sh000001
697,2020-11-17,3347.15,3339.9,3347.7,3323.95,283632479.0,sh000001
698,2020-11-18,3337.33,3347.3,3358.89,3333.99,287531259.0,sh000001
699,2020-11-19,3339.09,3363.09,3367.33,3330.45,253262992.0,sh000001
700,2020-11-20,3359.6,3377.73,3380.15,3356.31,261271219.0,sh000001
